CODE_DEP,Année,Espérance_Vie_Homme,Espérance_Vie_Femme
25,2007,78.3,84.3
25,2008,78.1,84.3
25,2009,78.3,84.1
25,2010,78.5,84.8
25,2011,78.4,85.0
25,2012,78.5,84.7
25,2013,79.5,85.1
25,2014,79.3,85.2
25,2015,79.1,85.7
25,2016,79.6,85.0
25,2017,79.7,85.2
25,2018,78.9,85.3
25,2019,80.1,85.1
25,2020,78.7,85.0
25,2021,79.5,85.4
25,2022,79.4,84.6
26,2000,76.3,83.4
26,2001,75.5,83.1
26,2002,77.0,83.6
26,2003,76.8,83.3
26,2004,77.5,83.9
26,2005,77.8,83.9
26,2006,78.1,84.7
26,2007,78.3,85.0
26,2008,78.5,84.7
26,2009,78.4,84.6
26,2010,79.0,84.8
26,2011,78.7,85.0
26,2012,79.1,85.3
26,2013,79.3,85.4
26,2014,79.6,85.4
26,2015,79.7,85.7
26,2016,79.9,85.6
26,2017,79.9,85.5
26,2018,79.6,85.7
26,2019,80.2,85.6
26,2020,79.8,85.7
26,2021,80.4,85.2
26,2022,79.8,85.1
27,2000,74.5,82.1
27,2001,74.5,81.6
27,2002,73.8,81.9
27,2003,74.9,82.2
27,2004,75.4,83.1
27,2005,75.5,82.9
27,2006,76.1,83.2
27,2007,76.1,83.1
27,2008,76.1,83.4
27,2009,75.7,83.6
27,2010,76.6,83.8
27,2011,77.4,83.6
27,2012,77.3,83.4
27,2013,77.2,84.4
27,2014,77.6,83.9
27,2015,77.7,84.4
27,2016,78.1,84.6
27,2017,77.9,84.3
27,2018,78.1,84.5
27,2019,78.2,84.4
27,2020,77.6,84.0
27,2021,77.7,84.1
27,2022,78.1,83.7
28,2000,75.5,82.8
28,2001,75.1,82.6
28,2002,76.3,83.0
28,2003,75.7,82.7
28,2004,76.8,84.0
28,2005,76.4,83.3
28,2006,77.0,83.8
28,2007,77.5,84.7
28,2008,77.4,83.9
28,2009,77.7,83.8
28,2010,77.0,84.5
28,2011,78.3,85.0
28,2012,78.5,84.8
28,2013,79.0,84.7
28,2014,79.8,85.5
28,2015,79.1,85.1
28,2016,78.7,84.5
28,2017,79.5,84.8
28,2018,79.2,85.1
28,2019,79.0,84.9
28,2020,78.6,84.5
28,2021,78.8,84.6
28,2022,78.5,84.3
29,2000,73.6,81.9
29,2001,73.4,82.2
29,2002,73.7,82.4
29,2003,74.0,82.5
29,2004,74.9,83.3
29,2005,75.2,83.2
29,2006,75.5,83.0
29,2007,75.3,83.4
29,2008,75.7,83.6
29,2009,75.7,83.4
29,2010,75.7,83.6
29,2011,76.5,83.8
29,2012,76.4,83.8
29,2013,77.2,84.2
29,2014,77.6,84.7
29,2015,77.2,84.4
29,2016,77.5,84.3
29,2017,77.9,84.4
29,2018,77.7,84.4
29,2019,78.3,85.0
29,2020,78.1,84.6
29,2021,78.6,84.8
29,2022,78.0,84.6
2A,2000,74.4,82.4
2A,2001,76.4,82.6
2A,2002,75.1,82.9
2A,2003,76.9,82.8
2A,2004,76.0,83.0
2A,2005,77.2,84.3
2A,2006,77.6,84.7
2A,2007,78.3,84.7
2A,2008,78.1,83.9
2A,2009,77.0,84.8
2A,2010,79.6,84.0
2A,2011,79.3,83.6
2A,2012,79.4,85.7
2A,2013,79.2,84.2
2A,2014,79.8,84.8
2A,2015,79.7,85.2
2A,2016,80.5,85.7
2A,2017,80.7,86.5
2A,2018,80.6,86.4
2A,2019,80.5,85.4
2A,2020,80.6,86.0
2A,2021,80.2,85.7
2A,2022,79.4,85.3
2B,2000,75.9,82.4
2B,2001,76.2,83.5
2B,2002,76.9,84.2
2B,2003,76.6,83.6
2B,2004,77.8,84.4
2B,2005,77.1,84.3
2B,2006,78.6,84.6
2B,2007,77.7,84.8
2B,2008,79.0,85.0
2B,2009,78.5,84.8
2B,2010,78.2,83.4
2B,2011,79.2,85.1
2B,2012,79.8,85.1
2B,2013,78.7,85.5
2B,2014,80.1,86.0
2B,2015,79.7,86.0
2B,2016,79.4,85.8
2B,2017,80.1,85.6
2B,2018,80.4,86.5
2B,2019,81.1,86.0
2B,2020,80.9,86.7
2B,2021,80.5,85.9
2B,2022,80.4,85.4
30,2000,75.0,82.7
30,2001,75.3,83.0
30,2002,76.1,82.9
30,2003,76.2,83.1
30,2004,76.8,83.2
30,2005,76.6,83.4
30,2006,77.6,84.2
30,2007,77.5,84.5
30,2008,77.7,84.3
30,2009,77.6,84.3
30,2010,78.4,84.4
30,2011,78.5,84.9
30,2012,78.5,84.7
30,2013,79.1,84.7
30,2014,79.6,84.9
30,2015,78.9,85.0
30,2016,79.2,84.9
30,2017,79.7,85.7
30,2018,79.4,85.1
30,2019,79.7,85.4
30,2020,79.4,85.0
30,2021,79.3,85.1
30,2022,79.4,85.0
31,2000,77.2,83.4
31,2001,76.9,83.6
31,2002,77.2,83.4
31,2003,77.6,83.9
31,2004,77.9,84.3
31,2005,78.4,84.8
31,2006,79.0,85.0
31,2007,79.2,85.5
31,2008,79.4,85.2
31,2009,79.8,85.5
31,2010,79.9,85.8
31,2011,80.5,85.9
31,2012,80.5,85.5
31,2013,80.5,86.0
31,2014,81.0,86.0
31,2015,80.9,86.1
31,2016,81.2,86.2
31,2017,81.1,86.1
31,2018,81.6,86.2
31,2019,81.3,86.3
31,2020,81.3,86.4
31,2021,81.2,86.5
31,2022,81.2,86.3
32,2000,76.4,83.3
32,2001,76.1,82.6
32,2002,75.8,83.1
32,2003,77.0,83.5
32,2004,78.5,84.3
32,2005,77.3,84.5
