Année,PIB_en_euros_par_habitant,Code_INSEE_Région,Évolution_des_prix_à_la_consommation,PIB_par_inflation
2004,24195,44,2.13,23690.39
2005,24496,44,1.85,24051.06
2006,25322,44,1.63,24915.87
2007,26490,44,1.49,26101.09
2008,26860,44,2.81,26125.86
2009,25833,44,0.09,25809.77
2010,25857,44,1.52,25469.86
2011,26770,44,2.11,26216.82
2012,26517,44,1.95,26009.81
2013,26806,44,0.87,26574.8
2014,27082,44,0.5,26947.26
2015,27384,44,0.04,27373.05
2016,27523,44,0.18,27473.55
2017,28338,44,1.04,28046.32
2018,29016,44,1.85,28488.95
2019,29477,44,1.11,29153.4
2020,28172,44,0.48,28037.42
2021,30022,44,1.64,29537.58
2022,32159,44,5.22,30563.58
2000,21497,52,1.65,21148.06
2001,22404,52,1.63,22044.67
2002,22954,52,1.97,22510.54
2003,23500,52,2.05,23027.93
2004,24229,52,2.13,23723.69
2005,24883,52,1.85,24431.03
2006,25682,52,1.63,25270.1
2007,26827,52,1.49,26433.15
2008,27733,52,2.81,26975.0
2009,26638,52,0.09,26614.05
2010,26670,52,1.52,26270.69
2011,27894,52,2.11,27317.6
2012,28028,52,1.95,27491.91
2013,28274,52,0.87,28030.14
2014,28611,52,0.5,28468.66
2015,29224,52,0.04,29212.32
2016,29613,52,0.18,29559.79
2017,30328,52,1.04,30015.84
2018,30982,52,1.85,30419.24
2019,31898,52,1.11,31547.82
2020,31151,52,0.48,31002.19
2021,32711,52,1.64,32183.2
2022,35235,52,5.22,33486.98
2000,20700,53,1.65,20363.99
2001,21354,53,1.63,21011.51
2002,21797,53,1.97,21375.89
2003,22365,53,2.05,21915.73
2004,23725,53,2.13,23230.2
2005,24516,53,1.85,24070.69
2006,25446,53,1.63,25037.88
2007,26191,53,1.49,25806.48
2008,26045,53,2.81,25333.14
2009,25037,53,0.09,25014.49
2010,25147,53,1.52,24770.49
2011,26101,53,2.11,25561.65
2012,26329,53,1.95,25825.4
2013,26598,53,0.87,26368.59
2014,27083,53,0.5,26948.26
2015,27666,53,0.04,27654.94
2016,28185,53,0.18,28134.36
2017,29093,53,1.04,28793.55
2018,29481,53,1.85,28945.51
2019,30318,53,1.11,29985.16
2020,29457,53,0.48,29316.28
2021,31192,53,1.64,30688.71
2022,33648,53,5.22,31978.71
2000,20619,75,1.65,20284.31
2001,21557,75,1.63,21211.26
2002,22282,75,1.97,21851.52
2003,22676,75,2.05,22220.48
2004,23342,75,2.13,22855.18
2005,23988,75,1.85,23552.28
2006,24996,75,1.63,24595.1
2007,25969,75,1.49,25587.74
2008,25921,75,2.81,25212.53
2009,25387,75,0.09,25364.17
2010,25747,75,1.52,25361.51
2011,26666,75,2.11,26114.97
2012,26919,75,1.95,26404.12
2013,26932,75,0.87,26699.71
2014,27319,75,0.5,27183.08
2015,27732,75,0.04,27720.91
2016,28047,75,0.18,27996.61
2017,28660,75,1.04,28365.0
2018,29398,75,1.85,28864.02
2019,30199,75,1.11,29867.47
2020,29037,75,0.48,28898.29
2021,31075,75,1.64,30573.59
2022,32661,75,5.22,31040.68
2000,19667,76,1.65,19347.76
2001,20690,76,1.63,20358.16
2002,21191,76,1.97,20781.6
2003,21752,76,2.05,21315.04
2004,22565,76,2.13,22094.39
2005,23377,76,1.85,22952.38
2006,24692,76,1.63,24295.98
2007,25230,76,1.49,24859.59
2008,25701,76,2.81,24998.54
2009,25205,76,0.09,25182.34
2010,25285,76,1.52,24906.42
2011,26161,76,2.11,25620.41
2012,26501,76,1.95,25994.11
2013,26623,76,0.87,26393.38
2014,27049,76,0.5,26914.43
2015,27545,76,0.04,27533.99
2016,27952,76,0.18,27901.78
2017,28458,76,1.04,28165.08
2018,29212,76,1.85,28681.39
2019,29947,76,1.11,29618.24
2020,28309,76,0.48,28173.77
2021,30316,76,1.64,29826.84
2022,31710,76,5.22,30136.86
2000,23681,84,1.65,23296.61
2001,24369,84,1.63,23978.16
2002,24702,84,1.97,24224.77
2003,25147,84,2.05,24641.84
2004,26465,84,2.13,25913.05
2005,27110,84,1.85,26617.57
2006,28414,84,1.63,27958.28
2007,29451,84,1.49,29018.62
2008,30260,84,2.81,29432.93
2009,28969,84,0.09,28942.95
