annee_code_dpt;politique (parti);securite (Nombre_de_délits);socio_economie (PIB_par_Inflation);sante (Espérance_de_Vie_H/F);environnemental (Parc_installé_éolien_MW);education (Nombre_Total_Établissements);demographie (Population_Totale);technologie (Dépenses_en_R&D_en_pourcentages)
2021_39;;9374;28615.7;82.05;954.0;4;57423;2.22
2021_40;;16545;30573.59;82.55;1312.0;4;87584;2.22
2021_41;;12661;29737.31;82.35;1419.0;2;73532;2.22
2021_42;;36710;34943.92;82.6;713.0;3;185915;2.22
2021_43;;8513;34943.92;82.25;713.0;2;50251;2.22
2021_44;;84120;32183.2;82.6;1150.0;5;363690;2.22
2021_45;;32278;29737.31;82.45;1419.0;7;171116;2.22
2021_46;;6190;29826.84;83.05;1553.0;0;32852;2.22
2021_47;;14105;30573.59;82.4;1312.0;2;70260;2.22
2021_48;;2524;29826.84;80.7;1553.0;0;15930;2.22
2021_49;;30627;32183.2;83.5;1150.0;6;206028;2.22
2021_50;;15800;29817.99;81.35;927.0;7;107017;2.22
2021_51;;29948;29537.58;81.65;4180.0;9;135055;2.22
2021_52;;7479;29537.58;80.5;4180.0;2;35500;2.22
2021_53;;10550;32183.2;83.0;1150.0;3;75316;2.22
2021_54;;35203;29537.58;81.35;4180.0;13;169044;2.22
2021_55;;8128;29537.58;80.6;4180.0;5;40121;2.22
2021_56;;29485;30688.71;81.7;1136.0;6;169032;2.22
2021_57;;41506;29537.58;80.95;4180.0;18;233246;2.22
2021_58;;7891;28615.7;80.75;954.0;7;38608;2.22
2021_59;;154501;28620.62;80.3;5268.0;19;675191;2.22
2021_60;;41238;28620.62;81.3;5268.0;10;218289;2.22
2021_61;;11584;29817.99;81.1;927.0;4;59983;2.22
2021_62;;68506;28620.62;79.85;5268.0;18;367851;2.22
2021_63;;28032;34943.92;82.05;713.0;5;148944;2.22
2021_64;;25112;30573.59;83.7;1312.0;9;144582;2.22
2021_65;;8973;29826.84;82.2;1553.0;0;45666;2.22
2021_66;;28743;29826.84;81.15;1553.0;5;104587;2.22
2021_67;;50712;29537.58;82.4;4180.0;22;261488;2.22
2021_68;;31789;29537.58;82.35;4180.0;4;176232;2.22
2021_69;;142334;34943.92;83.7;713.0;11;476739;2.22
2021_70;;7634;28615.7;81.75;954.0;7;53228;2.22
