Département,Année,Délits_total
33,2020,95368
33,2021,98095
33,2022,66589
34,1996,75022
34,1997,70552
34,1998,73175
34,1999,78551
34,2000,82669
34,2001,86845
34,2002,86204
34,2003,81937
34,2004,82375
34,2005,79909
34,2006,79729
34,2007,73504
34,2008,78080
34,2009,77324
34,2010,76914
34,2011,75564
34,2012,74454
34,2013,76821
34,2014,74502
34,2015,73529
34,2016,76816
34,2017,76683
34,2018,75276
34,2019,80074
34,2020,69098
34,2021,73259
34,2022,51482
35,1996,32669
35,1997,34054
35,1998,37084
35,1999,37395
35,2000,40931
35,2001,44990
35,2002,48371
35,2003,47198
35,2004,44802
35,2005,46098
35,2006,43037
35,2007,42113
35,2008,37955
35,2009,39913
35,2010,40027
35,2011,39359
35,2012,40481
35,2013,42070
35,2014,39923
35,2015,40945
35,2016,42031
35,2017,42714
35,2018,44435
35,2019,44261
35,2020,41374
35,2021,43666
35,2022,34321
36,1996,7132
36,1997,7201
36,1998,8615
36,1999,8460
36,2000,9513
36,2001,9439
36,2002,10004
36,2003,8988
36,2004,8234
36,2005,7747
36,2006,8381
36,2007,7609
36,2008,7306
36,2009,7042
36,2010,7770
36,2011,7854
36,2012,7761
36,2013,8258
36,2014,8273
36,2015,8009
36,2016,7956
36,2017,8096
36,2018,8314
36,2019,8194
36,2020,7620
36,2021,8906
36,2022,6246
37,1996,30064
37,1997,27883
37,1998,27303
37,1999,26721
37,2000,29965
37,2001,31763
37,2002,34831
37,2003,31043
37,2004,30839
37,2005,27938
37,2006,27810
37,2007,26150
37,2008,26917
37,2009,25727
37,2010,26115
37,2011,26304
37,2012,25252
37,2013,25796
37,2014,26750
37,2015,26186
37,2016,26779
37,2017,28258
37,2018,28856
37,2019,29328
37,2020,26840
37,2021,30054
37,2022,20576
38,1996,66899
38,1997,67590
38,1998,68379
38,1999,62908
38,2000,68999
38,2001,74079
38,2002,77339
38,2003,80603
38,2004,75204
38,2005,73065
38,2006,68205
38,2007,65822
38,2008,65970
38,2009,65391
38,2010,65088
38,2011,62686
38,2012,64547
38,2013,66797
38,2014,73211
38,2015,74971
38,2016,71210
38,2017,73090
38,2018,75215
38,2019,78784
38,2020,68875
38,2021,74462
38,2022,51159
39,1996,9237
39,1997,9141
39,1998,7950
39,1999,8254
39,2000,8844
39,2001,9694
39,2002,9864
39,2003,9497
39,2004,9203
39,2005,8924
39,2006,9091
39,2007,8410
39,2008,8508
39,2009,8723
39,2010,8319
39,2011,8524
39,2012,8661
39,2013,8805
39,2014,8998
39,2015,8832
39,2016,9198
39,2017,9925
39,2018,11041
39,2019,10329
39,2020,9850
39,2021,9374
39,2022,7014
40,1996,13944
40,1997,13488
40,1998,14008
40,1999,13747
40,2000,14991
40,2001,16633
40,2002,18150
40,2003,16834
40,2004,16067
40,2005,16767
40,2006,18722
40,2007,15468
40,2008,15659
40,2009,16020
40,2010,14498
40,2011,15536
