Type;Code_Département;Nom_Département;E_0_19_ans;E_20_39_ans;E_40_59_ans;E_60_74_ans;E_75_et_plus;E_Total;F_0_19_ans;F_20_39_ans;F_40_59_ans;F_60_74_ans;F_75_et_plus;F_Total;H_0_19_ans;H_20_39_ans;H_40_59_ans;H_60_74_ans;H_75_et_plus;H_Total;Année;Code_Département_Num
Métropole + DOM;FMD;France métropolitaine et DOM;16562199;17514001;8701188;5549804;64304500;15977308;8330323;8934149;4601558;3509510;33178655;7803115;8231876;8579852;4099630;2040294;31125845;8174193;2009;
Métropole;FRM;France métropolitaine;16131404;17039375;8265032;5361480;62134866;15337575;8096831;8680630;4384746;3400540;32050119;7487372;8034573;8358745;3880286;1960940;30084747;7850203;2008;
DOM;DOM;Départements d'Outre-Mer;485517;478497;174208;77461;1826993;611310;260333;251228;93779;47984;953453;300129;225184;227269;80429;29477;873540;311181;2008;
Métropole + DOM;FMD;France métropolitaine et DOM;16616921;17517872;8439240;5438941;63961859;15948885;8357164;8931858;4478525;3448524;33003572;7787501;8259757;8586014;3960715;1990417;30958287;8161384;2008;
Métropole;FRM;France métropolitaine;16181437;17038546;8033849;5226312;61795238;15315094;8120110;8677494;4280342;3323482;31877660;7476232;8061327;8361052;3753507;1902830;29917578;7838862;2007;
DOM;DOM;Départements d'Outre-Mer;487409;466434;166869;75038;1805452;609702;260157;244661;90104;46658;941276;299696;227252;221773;76765;28380;864176;310006;2007;
Métropole + DOM;FMD;France métropolitaine et DOM;16668846;17504980;8200718;5301350;63600690;15924796;8380267;8922155;4370446;3370140;32818936;7775928;8288579;8582825;3830272;1931210;30781754;8148868;2007;
Métropole;FRM;France métropolitaine;16226472;16967166;7839700;5085994;61399733;15280401;8143269;8638135;4196861;3241456;31685322;7465601;8083203;8329031;3642839;1844538;29714411;7814800;2006;
DOM;DOM;Départements d'Outre-Mer;488601;453997;163226;73208;1786384;607352;260743;237959;88198;45415;930751;298436;227858;216038;75028;27793;855633;308916;2006;
Métropole + DOM;FMD;France métropolitaine et DOM;16715073;17421163;8002926;5159202;63186117;15887753;8404012;8876094;4285059;3286871;32616073;7764037;8311061;8545069;3717867;1872331;30570044;8123716;2006;
Métropole;FRM;France métropolitaine;16253263;16714029;7828306;4922677;60963264;15244989;8158960;8495952;4201718;3142939;31445903;7446334;8094303;8218077;3626588;1779738;29517361;7798655;2005;
DOM;DOM;Départements d'Outre-Mer;495021;439643;156095;72646;1767273;603868;263402;230109;83876;44797;919042;296858;231619;209534;72219;27849;848231;307010;2005;
Métropole + DOM;FMD;France métropolitaine et DOM;16748284;17153672;7984401;4995323;62730537;15848857;8422362;8726061;4285594;3187736;32364945;7743192;8325922;8427611;3698807;1807587;30365592;8105665;2005;
Métropole;FRM;France métropolitaine;16325793;16434639;7794174;4768476;60505421;15182339;8192113;8342168;4192542;3049163;31192749;7416763;8133680;8092471;3601632;1719313;29312672;7765576;2004;
DOM;DOM;Départements d'Outre-Mer;499717;423219;151100;69971;1745641;601634;264843;220847;81341;43223;906380;296126;234874;202372;69759;26748;839261;305508;2004;
Métropole + DOM;FMD;France métropolitaine et DOM;16825510;16857858;7945274;4838447;62251062;15783973;8456956;8563015;4273883;3092386;32099129;7712889;8368554;8294843;3671391;1746061;30151933;8071084;2004;
Métropole;FRM;France métropolitaine;16411306;16152599;7778692;4646728;60101841;15112516;8231775;8184841;4194641;2978257;30974030;7384516;8179531;7967758;3584051;1668471;29127811;7728000;2003;
DOM;DOM;Départements d'Outre-Mer;504807;405531;147292;67217;1722189;597342;266368;211104;79511;41564;892656;294109;238439;194427;67781;25653;829533;303233;2003;
