Code_Département;Nom_Département;0-19 ans;20-39 ans;40-59 ans;60-74 ans;75 ans et plus;Total;H_0-19 ans;H_20-39 ans;H_40-59 ans;H_60-74 ans;H_75 ans et plus;H_Total;F_0-19 ans;F_20-39 ans;F_40-59 ans;F_60-74 ans;F_75 ans et plus;F_Total;Année
France métropolitaine et DOM;;15651059;16968580;15882006;7997858;4441907;60941410;8000441;8452201;7857967;3667396;1582012;29560017;7650618;8516379;8024039;4330462;2859895;31381393;2001
France métropolitaine;;15044092;16483404;15186214;7899683;4244805;58858198;7692965;8223657;7532154;3614399;1502806;28565981;7351127;8259747;7654060;4285284;2741999;30292217;2000
DOM;;582548;515017;356593;136481;59313;1649952;295447;247397;172136;62368;22471;799819;287101;267620;184457;74113;36842;850133;2000
France métropolitaine et DOM;;15626640;16998421;15542807;8036164;4304118;60508150;7988412;8471054;7704290;3676767;1525277;29365800;7638228;8527367;7838517;4359397;2778841;31142350;2000
France métropolitaine;;15017908;16565356;14890414;7901639;4121296;58496613;7682497;8266444;7397208;3608319;1451677;28406145;7335411;8298912;7493206;4293320;2669619;30090468;1999
DOM;;577262;517197;341649;133546;56398;1626052;293002;249897;165018;61092;21258;790267;284260;267300;176631;72454;35140;835785;1999
France métropolitaine et DOM;;15595170;17082553;15232063;8035185;4177694;60122665;7975499;8516341;7562226;3669411;1472935;29196412;7619671;8566212;7669837;4365774;2704759;30926253;1999
France métropolitaine;;15026922;16687479;14655116;7936339;3993106;58298962;7685889;8327069;7291089;3615840;1396294;28316181;7341033;8360410;7364027;4320499;2596812;29982781;1998
DOM;;573982;513982;330607;128741;53073;1600385;291124;249000;160205;58960;19885;779174;282858;264982;170402;69781;33188;821211;1998
France métropolitaine et DOM;;15600904;17201461;14985723;8065080;4046179;59899347;7977013;8576069;7451294;3674800;1416179;29095355;7623891;8625392;7534429;4390280;2630000;30803992;1998
France métropolitaine;;15055742;16818685;14413667;7971476;3856448;58116018;7700939;8393762;7180105;3624104;1336837;28235747;7354803;8424923;7233562;4347372;2519611;29880271;1997
DOM;;571005;508875;319525;125051;50703;1575159;289532;247012;155036;57222;18869;767671;281473;261863;164489;67829;31834;807488;1997
France métropolitaine et DOM;;15626747;17327560;14733192;8096527;3907151;59691177;7990471;8640774;7335141;3681326;1355706;29003418;7636276;8686786;7398051;4415201;2551445;30687759;1997
France métropolitaine;;15058227;16973323;14187229;8014488;3702692;57935959;7700740;8472818;7076216;3635412;1270265;28155451;7357487;8500505;7111013;4379076;2432427;29780508;1996
DOM;;568650;504045;308777;121347;48635;1551454;288261;245237;149981;55512;17992;756983;280389;258808;158796;65835;30643;794471;1996
France métropolitaine et DOM;;15626877;17477368;14496006;8135835;3751327;59487413;7989001;8718055;7226197;3690924;1288257;28912434;7637876;8759313;7269809;4444911;2463070;30574979;1996
France métropolitaine;;15084361;17108296;13960425;8063934;3535519;57752535;7714652;8544847;6970845;3651387;1196325;28078056;7369709;8563449;6989580;4412547;2339194;29674479;1995
DOM;;566764;498851;298060;118198;46169;1528042;287308;243225;144853;54048;16962;746396;279456;255626;153207;64150;29207;781646;1995
France métropolitaine et DOM;;15651125;17607147;14258485;8182132;3581688;59280577;8001960;8788072;7115698;3705435;1213287;28824452;7649165;8819075;7142787;4476697;2368401;30456125;1995
